"","King's Speech announcement","bill_id","Briefing title","URL"
"1","Civil Aviation Bill",4125,NA,NA
"2","Clean Water Bill",0,NA,NA
"3","Commonhold and Leasehold Reform Bill",0,NA,NA
"4","Competition Reform Bill",0,NA,NA
"5","Digital Access to Services Bill",0,NA,NA
"6","Education for All Bill",0,NA,NA
"7","Electricity Generator Levy Bill",0,NA,NA
"8","Energy Independence Bill",0,NA,NA
"9","Enhancing Financial Services Bill",4129,NA,NA
"10","European Partnership Bill",0,NA,NA
"11","Highways (Financing) Bill",0,NA,NA
"12","Immigration and Asylum Bill",0,NA,NA
"13","National Security Bill",0,NA,NA
"14","Health Bill",0,NA,NA
"15","Nuclear Regulation Bill",0,NA,NA
"16","Overnight Visitor Levy Bill",0,NA,NA
"17","Police Reform Bill",0,NA,NA
"18","Regulating for Growth Bill",0,NA,NA
"19","Remediation Bill",0,NA,NA
"20","Removal of Peerages Bill",0,NA,NA
"21","Small Business Protections (Late Payments) Bill",4128,NA,NA
"22","Social Housing Bill",4126,NA,NA
"23","Sovereign Grant Bill",0,NA,NA
"24","Sporting Events Bill",4127,NA,NA
"25","Steel Industry (Nationalisation) Bill",4123,"Steel Industry (Nationalisation) Bill 2026-27","https://commonslibrary.parliament.uk/research-briefings/cbp-10846/"
"26","Tackling State Threats Bill",0,NA,NA
"27","Armed Forces Bill*",4065,"Armed Forces Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10471/"
"28","Courts and Tribunals Bill*",4083,"Courts and Tribunals Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10515/"
"29","Cyber Security and Resilience (Network and Information Systems) Bill*",4035,"Cyber Security and Resilience (Network and Information Systems) Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10442/"
"30","Northern Ireland Troubles Bill*",4022,"Northern Ireland Troubles Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10364/"
"31","High Speed Rail (Crewe - Manchester) Bill / Northern Powerhouse Rail*",3094,"High Speed Rail (Crewe / Manchester) Bill 2024-25","https://commonslibrary.parliament.uk/research-briefings/cbp-10066/"
"32","Public Office (Accountability) Bill*",4019,"Public Office (Accountability) Bill 2024-26: Progress of the bill","https://commonslibrary.parliament.uk/research-briefings/cbp-10424/"
"33","Public Office (Accountability) Bill*",4019,"Public Office (Accountability) Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10359/"
"34","Railways Bill*",4030,"Railways Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10386/"
"35","Representation of the People Bill*",4080,"Representation of the People Bill 2024-26","https://commonslibrary.parliament.uk/research-briefings/cbp-10506/"
